pdb,names
6x9h,Acid-sensing ion channel 1
6xp9,"Nuclear receptor subfamily 1 group I member 2,Nuclear receptor coactivator 1 fusion"
6yd5,Cell division protein FtsZ
6yuh,Histone-lysine N-methyltransferase SMYD3
6yz4,Dual specificity mitogen-activated protein kinase kinase 7
6zgv,Galactokinase
7amj,3C-like proteinase
7anw,NAD(+) hydrolase SARM1
7aud,"Bloom syndrome protein,Bloom syndrome protein"
7c7q,"('Gamma-aminobutyric acid type B receptor subunit 1', 'Gamma-aminobutyric acid type B receptor subunit 2')"
7d8x,Presenilin-1
7dpt,CTP synthase
7dtu,Extracellular calcium-sensing receptor
7ehm,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial"
7juv,"('Kinase suppressor of Ras 2', 'Dual specificity mitogen-activated protein kinase kinase 1')"
7ljc,D(1A) dopamine receptor
7lw1,"ATP-dependent 6-phosphofructokinase, liver type"
7lz4,"cAMP-dependent protein kinase type I-alpha regulatory subunit, N-terminally processed"
7mew,ATP-dependent lipid A-core flippase
7p2l,"Metabotropic glutamate receptor 5,Endolysin,Metabotropic glutamate receptor 5"
8dwg,Mas-related G-protein coupled receptor member X1
8fe1,"('Glycine receptor subunit alphaZ1', 'Glycine receptor beta subunit 2')"
8hnn,"Soluble cytochrome b562,C-X-C chemokine receptor type 3,Kappa-type opioid receptor"
8jii,Hydroxycarboxylic acid receptor 2
8jpf,Neurotensin receptor type 1
8tb7,"G-protein coupled receptor 61,Soluble cytochrome b562"
